text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,blue,left,incong,0,0,0,3,,,,,9.528437091998057,None,11.227436276996741,None,left,1,0.5741900239954703,11.227436276996741,None,11.84454732798622,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
red,green,left,incong,0,1,1,2,,,,,,,13.328185521997511,None,left,1,0.4434983239916619,13.328185521997511,None,13.79253886299557,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
blue,blue,right,cong,0,2,2,11,,,,,,,15.277845322998473,None,right,1,0.8886697039997671,15.277845322998473,None,16.198114508995786,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
blue,red,right,incong,0,3,3,8,,,,,,,17.694338479981525,None,right,1,0.6890030690119602,17.694338479981525,None,18.41692279500421,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
green,red,down,incong,0,4,4,4,,,,,,,19.911572295997757,None,down,1,0.354764404008165,19.911572295997757,None,20.291548298002454,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
blue,blue,right,cong,0,5,5,10,,,,,,,21.777295363979647,None,right,1,0.7390502439811826,21.777295363979647,None,22.54568808397744,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
green,blue,down,incong,0,6,6,7,,,,,,,24.026230299001327,None,down,1,0.5861925140197854,24.026230299001327,None,24.64751511599752,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
green,green,down,cong,0,7,7,6,,,,,,,26.14344464399619,None,down,1,0.9467033469991293,26.14344464399619,None,27.11011999999755,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
green,green,down,cong,0,8,8,5,,,,,,,28.59458769997582,None,down,1,1.4625846209819429,28.59458769997582,None,30.08171607198892,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
red,red,left,cong,0,9,9,1,,,,,,,31.575636139983544,None,left,1,0.5384986969875172,31.575636139983544,None,32.143223994993605,None,,,,,rev02,01,2020_Apr_04_1350,stroopReverse,2020.1.2,60.43838913749771,
