setSize,posInSet,present,numberSet,target,corrAns,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,OK1.keys,OK1.rt,OK1.started,OK1.stopped,fixation.started,fixation.stopped,presentSet.started,presentSet.stopped,presentTarget.started,presentTarget.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instr2.started,instr2.stopped,OK2.keys,OK2.rt,OK2.started,OK2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,5,y,5 7 8 2 3 8,3,right,,,,,0,52,52,118,,,,,,,575.2551863479894,576.2549108419917,576.4227436209912,577.9235364290071,579.9228385299793,None,right,1,1.3183056290145032,579.9228385299793,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,4,y,8 5 1 3 9,3,right,,,,,0,53,53,82,,,,,,,581.2885783099919,582.3045708650025,582.4528178169858,583.9558617580042,585.9559528300015,None,right,1,1.7950098869914655,585.9559528300015,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,2 8 9 4 1,5,left,,,,,0,54,54,86,,,,,,,587.7765516130021,588.7882792589953,588.9551536430081,590.4557629699993,592.454109607992,None,left,1,1.2175304309930652,592.454109607992,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,1,y,8,8,right,,,,,0,55,55,5,,,,,,,593.7099610040023,594.7244368649845,594.9053856490063,596.4048039259796,598.4233029589814,None,right,1,0.9883529829967301,598.4233029589814,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,2 5 1 4,6,left,,,,,0,56,56,50,,,,,,,599.4562314919895,600.4713468279806,600.6214340139995,602.1401007399836,604.1269548929995,None,left,1,1.3144586760026868,604.1269548929995,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,1,y,2 3,2,right,,,,,0,57,57,10,,,,,,,605.4878919640032,606.4879840509966,606.6555977810058,608.1713971449935,610.1523248629819,None,right,1,1.2428189649945125,610.1523248629819,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,2,y,9 1 7 2,1,right,,,,,0,58,58,47,,,,,,,611.4386978019902,612.4534669620043,612.6028704019845,614.1042565059906,616.1021154189948,None,right,1,1.9298999799939338,616.1021154189948,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,2,y,8 5 4 7 3 1,5,right,,,,,0,59,59,99,,,,,,,618.0719041349948,619.0734456729842,619.2390692929912,620.7714383529965,622.7362601500063,None,right,1,0.872701214015251,622.7362601500063,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,7 1 8 4 9 3,6,left,,,,,0,60,60,116,,,,,,,623.655854430981,624.6706374500063,624.8195811850019,626.3204867320019,628.3189912709931,None,left,1,1.1846336119924672,628.3189912709931,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,5,y,4 6 2 5 1,1,right,,,,,0,61,61,88,,,,,,,629.5367998979928,630.5372299199807,630.7195014219906,632.2198653300002,634.2203540850023,None,right,1,1.0290196099958848,634.2203540850023,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,1 7 5 2 9,3,left,,,,,0,62,62,61,,,,,,,635.2893785579945,636.2886425500037,636.4718531749968,637.9859711749887,639.9548982399865,None,left,1,1.430468287988333,639.9548982399865,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,6 9 7 3 8 2,5,left,,,,,0,63,63,115,,,,,,,641.4207294659864,642.4213841349992,642.588030045008,644.1034997410025,646.0848892960057,648.0880989459984,left,1,2.283294104010565,646.0848892960057,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,1,y,9 5 3 8 4,9,right,,,,,0,64,64,63,,,,,,,648.3911427069979,649.4037571299996,649.5691455519991,651.0698135870043,653.0707170289825,None,right,1,0.8362106829881668,653.0707170289825,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,7 4 2 8 1 9,5,left,,,,,0,65,65,104,,,,,,,653.9542141139973,654.953699509002,655.1218355239835,656.6370705679874,658.6189642259851,None,left,1,1.6097220889932942,658.6189642259851,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,8 5 7 3 6,9,left,,,,,0,66,66,78,,,,,,,660.2586633279861,661.2703283949813,661.4369993849832,662.9370005889796,664.9344612699933,None,left,1,1.0529562740121037,664.9344612699933,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,3,y,4 1 8 7 5,8,right,,,,,0,67,67,77,,,,,,,666.0250515099906,667.0365772479854,667.2039524799911,668.7032306299952,670.7045060689852,None,right,1,1.2669876470172312,670.7045060689852,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,2 8 9,6,left,,,,,0,68,68,19,,,,,,,672.0080712049967,673.019580763008,673.1859580760065,674.6864077950013,676.6856324139808,None,left,1,0.8853843260149006,676.6856324139808,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,3 4 2,5,left,,,,,0,69,69,24,,,,,,,677.6226429730013,678.6377001639921,678.7878694899846,680.3028828219976,682.2863436699845,None,left,1,1.0077024750062265,682.2863436699845,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,4 1,6,left,,,,,0,70,70,13,,,,,,,683.3388847759925,684.3527967839909,684.5018960949965,686.0027798179945,688.0037567559921,None,left,1,0.7582041150017176,688.0037567559921,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,3,y,9 3 8 2 1 4,8,right,,,,,0,71,71,106,,,,,,,688.8048775710049,689.8196652059851,689.9706142809882,691.469570123998,693.4685363879835,None,right,1,0.9152304630260915,693.4685363879835,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,1,y,3 5 9 6 2 4,3,right,,,,,0,72,72,95,,,,,,,694.4061014049803,695.4186643690045,695.5849566789984,697.0862105480046,699.0862058920029,None,right,1,1.0648933880147524,699.0862058920029,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,4,y,9 3 1 2 5,2,right,,,,,0,73,73,81,,,,,,,700.1733867249859,701.1862434359791,701.3528084300051,702.8705561519891,704.8530933279835,None,right,1,0.917165599996224,704.8530933279835,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,1,y,9 1 6 7 8,9,right,,,,,0,74,74,65,,,,,,,705.8195185219811,706.8195086419873,706.985109871981,708.4861577749834,710.4869280459825,None,right,1,0.827167206996819,710.4869280459825,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,2,y,5 2 6,2,right,,,,,0,75,75,29,,,,,,,711.3539675569918,712.3530594619806,712.5207461859973,714.0193666059931,716.0187393569795,None,right,1,1.020298527990235,716.0187393569795,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,2 8 6 3 1,7,left,,,,,0,76,76,62,,,,,,,717.088068410987,718.1042103089858,718.2533975349797,719.753346315003,721.7508207639912,None,left,1,1.0161167019978166,721.7508207639912,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,3 9 8 1 6 4,7,left,,,,,0,77,77,110,,,,,,,722.7895289580047,723.8019098730001,723.9677335099841,725.4691506410018,727.4700269759924,None,left,1,1.1276836300094146,727.4700269759924,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,3 4 9 6 7 8,2,left,,,,,0,78,78,98,,,,,,,728.6357093429833,729.6345736559888,729.7998686929932,731.301788924,733.3009379459836,None,left,1,0.9815748929977417,733.3009379459836,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,4 2 6 9,7,left,,,,,0,79,79,36,,,,,,,734.306347323989,735.318887351983,735.4857803059858,736.9862343669811,738.9841186849808,None,left,1,0.9950336869806051,738.9841186849808,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,3,y,5 2 9 6 1 7,9,right,,,,,0,80,80,105,,,,,,,740.0191285070032,741.0195477789966,741.1864274209947,742.6855111070035,744.6843453309848,None,right,1,1.857874526991509,744.6843453309848,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,1 4 9 3,5,left,,,,,0,81,81,49,,,,,,,746.5739475769806,747.5851820149983,747.7506096569996,749.2527430169866,751.2503934259876,None,left,1,1.6646095149917528,751.2503934259876,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,4,y,3 9 6 2,2,right,,,,,0,82,82,59,,,,,,,752.9399252349976,753.9516946529911,754.1171057859901,755.6173748300062,757.6187418479822,None,right,1,1.031058117019711,757.6187418479822,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,9 7 4 5 8,6,left,,,,,0,83,83,68,,,,,,,758.6676796769898,759.6674841339991,759.8506533149921,761.3517050899973,763.3509291730006,None,left,1,1.434598397987429,763.3509291730006,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,2 3 8 5 6 7,1,left,,,,,0,84,84,97,,,,,,,764.8204262960062,765.8361388129997,766.0018323019904,767.5022608779836,769.5024645270023,None,left,1,0.912980589986546,769.5024645270023,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,1,y,3 4,3,right,,,,,0,85,85,11,,,,,,,770.4374114839884,771.4539313289861,771.6193731130043,773.1182677199831,775.1183544209925,None,right,1,1.4649207849870436,775.1183544209925,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,9 5 3 2 8 6,7,left,,,,,0,86,86,91,,,,,,,776.6182099449798,777.6216153809801,777.7857147500035,779.2854119990079,781.2855842839926,None,left,1,0.98036882901215,781.2855842839926,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,1 6 4 3 9 7,8,left,,,,,0,87,87,92,,,,,,,782.3022057630005,783.3008127280045,783.4664364199853,784.968784222001,786.9657492050028,None,left,1,0.8732365419855341,786.9657492050028,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,--,n,9,6,left,,,,,0,88,88,1,,,,,,,787.8658815639792,788.8667374819925,789.049059359997,790.550124240981,792.5522264030005,None,left,1,0.608460929011926,792.5522264030005,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,3,y,2 5 4 8 7,4,right,,,,,0,89,89,75,,,,,,,793.2012452700001,794.2009232470009,794.3680226079887,795.868465809006,797.8664108249941,None,right,1,0.9366116739984136,797.8664108249941,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
