nonwordType,upperWord,lowerWord,corrAns,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
CONTROL,FOOD,FEVE,up,1.0,106.28977966308594,106.28977966308594,0.0,,107.25730895996094,107.25730895996094,0.0,,1.0,1.0,0.0,'up',0.5760024785995483,0.5760024785995483,0.0,107.25730895996094,107.25730895996094,0.0,,107.25730895996094,107.25730895996094,0.0,,21.0
CONTROL,HOPE,FUTE,up,1.0,112.65718078613281,112.65718078613281,0.0,,113.61936950683594,113.61936950683594,0.0,,1.0,1.0,0.0,'up',0.7526242733001709,0.7526242733001709,0.0,113.61936950683594,113.61936950683594,0.0,,113.61936950683594,113.61936950683594,0.0,,24.0
PSEUDOHOMOPHONE,KORD,LACK,down,1.0,87.57433319091797,87.57433319091797,0.0,,88.54005432128906,88.54005432128906,0.0,,1.0,1.0,0.0,'down',0.9227098226547241,0.9227098226547241,0.0,88.54005432128906,88.54005432128906,0.0,,88.54005432128906,88.54005432128906,0.0,,11.0
PSEUDOHOMOPHONE,LERN,LIST,down,1.0,110.17195892333984,110.17195892333984,0.0,,111.13965606689453,111.13965606689453,0.0,,1.0,1.0,0.0,'down',1.4813607931137085,1.4813607931137085,0.0,111.13965606689453,111.13965606689453,0.0,,111.13965606689453,111.13965606689453,0.0,,23.0
PSEUDOHOMOPHONE,MONE,MASS,down,1.0,70.75503540039062,70.75503540039062,0.0,,71.74006652832031,71.74006652832031,0.0,,1.0,1.0,0.0,'down',0.9504172801971436,0.9504172801971436,0.0,71.74006652832031,71.74006652832031,0.0,,71.74006652832031,71.74006652832031,0.0,,1.0
PSEUDOHOMOPHONE,SUNE,NEWS,down,1.0,89.52236938476562,89.52236938476562,0.0,,90.4933090209961,90.4933090209961,0.0,,1.0,1.0,0.0,'down',0.7454017996788025,0.7454017996788025,0.0,90.4933090209961,90.4933090209961,0.0,,90.4933090209961,90.4933090209961,0.0,,12.0
PSEUDOHOMOPHONE,TAKS,NOTE,down,1.0,93.2889404296875,93.2889404296875,0.0,,94.2573471069336,94.2573471069336,0.0,,1.0,1.0,0.0,'down',1.2633697986602783,1.2633697986602783,0.0,94.2573471069336,94.2573471069336,0.0,,94.2573471069336,94.2573471069336,0.0,,14.0
PSEUDOHOMOPHONE,TODE,POOL,down,1.0,85.75267028808594,85.75267028808594,0.0,,86.7363052368164,86.7363052368164,0.0,,1.0,1.0,0.0,'down',0.7875103950500488,0.7875103950500488,0.0,86.7363052368164,86.7363052368164,0.0,,86.7363052368164,86.7363052368164,0.0,,10.0
PSEUDOHOMOPHONE,WERK,RACE,down,1.0,91.2765884399414,91.2765884399414,0.0,,92.25642395019531,92.25642395019531,0.0,,1.0,1.0,0.0,'down',0.9933763742446899,0.9933763742446899,0.0,92.25642395019531,92.25642395019531,0.0,,92.25642395019531,92.25642395019531,0.0,,13.0
PSEUDOHOMOPHONE,WITE,RISE,down,1.0,82.33879089355469,82.33879089355469,0.0,,83.30675506591797,83.30675506591797,0.0,,1.0,1.0,0.0,'down',0.8823058009147644,0.8823058009147644,0.0,83.30675506591797,83.30675506591797,0.0,,83.30675506591797,83.30675506591797,0.0,,8.0
CONTROL,GAIR,SHOT,down,1.0,114.40788269042969,114.40788269042969,0.0,,115.39031219482422,115.39031219482422,0.0,,1.0,1.0,0.0,'down',0.903773307800293,0.903773307800293,0.0,115.39031219482422,115.39031219482422,0.0,,115.39031219482422,115.39031219482422,0.0,,25.0
CONTROL,JATE,SOON,down,1.0,95.55673217773438,95.55673217773438,0.0,,96.52506256103516,96.52506256103516,0.0,,1.0,1.0,0.0,'down',0.6516027450561523,0.6516027450561523,0.0,96.52506256103516,96.52506256103516,0.0,,96.52506256103516,96.52506256103516,0.0,,15.0
CONTROL,NUCK,STEP,down,1.0,118.07188415527344,118.07188415527344,0.0,,119.04023742675781,119.04023742675781,0.0,,1.0,1.0,0.0,'down',0.7485679388046265,0.7485679388046265,0.0,119.04023742675781,119.04023742675781,0.0,,119.04023742675781,119.04023742675781,0.0,,27.0
CONTROL,PLEN,STOP,down,1.0,77.24036407470703,77.24036407470703,0.0,,78.2085189819336,78.2085189819336,0.0,,1.0,1.0,0.0,'down',0.9326006174087524,0.9326006174087524,0.0,78.2085189819336,78.2085189819336,0.0,,78.2085189819336,78.2085189819336,0.0,,5.0
CONTROL,SOAT,TALK,down,1.0,116.33964538574219,116.33964538574219,0.0,,117.30670166015625,117.30670166015625,0.0,,1.0,1.0,0.0,'down',0.7201935648918152,0.7201935648918152,0.0,117.30670166015625,117.30670166015625,0.0,,117.30670166015625,117.30670166015625,0.0,,26.0
CONTROL,TINP,WHOM,down,1.0,100.90556335449219,100.90556335449219,0.0,,101.8735122680664,101.8735122680664,0.0,,1.0,1.0,0.0,'down',0.731022834777832,0.731022834777832,0.0,101.8735122680664,101.8735122680664,0.0,,101.8735122680664,101.8735122680664,0.0,,18.0
CONTROL,CEST,WISE,down,1.0,104.57197570800781,104.57197570800781,0.0,,105.54061889648438,105.54061889648438,0.0,,1.0,1.0,0.0,'down',0.7076643109321594,0.7076643109321594,0.0,105.54061889648438,105.54061889648438,0.0,,105.54061889648438,105.54061889648438,0.0,,20.0

extraInfo
participant,debug
session,001
native language,Danish
date,2020_Apr_10_1059
expName,pseudohomophones_EW
psychopyVersion,2020.1.2
frameRate,59.87513041267777
