nonwordType,upperWord,lowerWord,corrAns,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
PSEUDOHOMOPHONE,BILL,AHMS,up,1.0,107.8719482421875,107.8719482421875,0.0,,108.83891296386719,108.83891296386719,0.0,,1.0,1.0,0.0,'up',1.298374056816101,1.298374056816101,0.0,108.83891296386719,108.83891296386719,0.0,,108.83891296386719,108.83891296386719,0.0,,22.0
PSEUDOHOMOPHONE,BORN,BILD,up,1.0,75.70734405517578,75.70734405517578,0.0,,76.69058990478516,76.69058990478516,0.0,,1.0,1.0,0.0,'up',0.5157438516616821,0.5157438516616821,0.0,76.69058990478516,76.69058990478516,0.0,,76.69058990478516,76.69058990478516,0.0,,4.0
PSEUDOHOMOPHONE,BOYS,CORT,up,1.0,84.22229766845703,84.22229766845703,0.0,,85.19001770019531,85.19001770019531,0.0,,1.0,1.0,0.0,'up',0.53785640001297,0.53785640001297,0.0,85.19001770019531,85.19001770019531,0.0,,85.19001770019531,85.19001770019531,0.0,,9.0
PSEUDOHOMOPHONE,CALL,DERT,up,1.0,97.2249984741211,97.2249984741211,0.0,,98.2054443359375,98.2054443359375,0.0,,1.0,1.0,0.0,'up',0.9510138630867004,0.9510138630867004,0.0,98.2054443359375,98.2054443359375,0.0,,98.2054443359375,98.2054443359375,0.0,,16.0
PSEUDOHOMOPHONE,CARS,FLOO,up,1.0,80.71854400634766,80.71854400634766,0.0,,81.70677947998047,81.70677947998047,0.0,,1.0,1.0,0.0,'up',0.5911779403686523,0.5911779403686523,0.0,81.70677947998047,81.70677947998047,0.0,,81.70677947998047,81.70677947998047,0.0,,7.0
PSEUDOHOMOPHONE,COLD,GARD,up,1.0,99.20529174804688,99.20529174804688,0.0,,100.1744155883789,100.1744155883789,0.0,,1.0,1.0,0.0,'up',0.684040904045105,0.684040904045105,0.0,100.1744155883789,100.1744155883789,0.0,,100.1744155883789,100.1744155883789,0.0,,17.0
PSEUDOHOMOPHONE,DARN,GROE,up,1.0,102.63833618164062,102.63833618164062,0.0,,103.60382080078125,103.60382080078125,0.0,,1.0,1.0,0.0,'up',0.9274544715881348,0.9274544715881348,0.0,103.60382080078125,103.60382080078125,0.0,,103.60382080078125,103.60382080078125,0.0,,19.0
CONTROL,DATE,AHNS,up,1.0,122.08966064453125,122.08966064453125,0.0,,123.056640625,123.056640625,0.0,,1.0,1.0,0.0,'up',0.8420147895812988,0.8420147895812988,0.0,123.056640625,123.056640625,0.0,,123.056640625,123.056640625,0.0,,29.0
CONTROL,DEEP,BAIF,up,1.0,119.82123565673828,119.82123565673828,0.0,,120.78809356689453,120.78809356689453,0.0,,1.0,1.0,0.0,'up',1.2598499059677124,1.2598499059677124,0.0,120.78809356689453,120.78809356689453,0.0,,120.78809356689453,120.78809356689453,0.0,,28.0
CONTROL,EASY,BIRL,up,1.0,74.21040344238281,74.21040344238281,0.0,,75.19051361083984,75.19051361083984,0.0,,1.0,1.0,0.0,'up',0.4936283528804779,0.4936283528804779,0.0,75.19051361083984,75.19051361083984,0.0,,75.19051361083984,75.19051361083984,0.0,,3.0
CONTROL,FARM,BORY,up,1.0,72.72402954101562,72.72402954101562,0.0,,73.6874008178711,73.6874008178711,0.0,,1.0,1.0,0.0,'up',0.485755056142807,0.485755056142807,0.0,73.6874008178711,73.6874008178711,0.0,,73.6874008178711,73.6874008178711,0.0,,2.0
CONTROL,FEED,VECE,up,1.0,69.22407531738281,69.22407531738281,0.0,,70.20734405517578,70.20734405517578,0.0,,1.0,1.0,0.0,'up',0.5119554400444031,0.5119554400444031,0.0,70.20734405517578,70.20734405517578,0.0,,70.20734405517578,70.20734405517578,0.0,,0.0
CONTROL,FIRE,DREE,up,1.0,79.18879699707031,79.18879699707031,0.0,,80.1533432006836,80.1533432006836,0.0,,1.0,1.0,0.0,'up',0.533669650554657,0.533669650554657,0.0,80.1533432006836,80.1533432006836,0.0,,80.1533432006836,80.1533432006836,0.0,,6.0
