upperWord,lowerWord,corrAns,wordType,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
DEAR,DEUR,up,HOMOPHONE,1.0,52.83150100708008,52.83150100708008,0.0,,53.80839157104492,53.80839157104492,0.0,,1.0,1.0,0.0,'up',0.5719448924064636,0.5719448924064636,0.0,53.80839157104492,53.80839157104492,0.0,,53.80839157104492,53.80839157104492,0.0,,24.0
HAIR,HAUR,up,HOMOPHONE,1.0,30.54461669921875,30.54461669921875,0.0,,31.511720657348633,31.511720657348633,0.0,,1.0,1.0,0.0,'up',0.6593084931373596,0.6593084931373596,0.0,31.511720657348633,31.511720657348633,0.0,,31.511720657348633,31.511720657348633,0.0,,11.0
LAID,LAOD,up,HOMOPHONE,1.0,49.59380340576172,49.59380340576172,0.0,,50.561126708984375,50.561126708984375,0.0,,1.0,1.0,0.0,'up',0.5762620568275452,0.5762620568275452,0.0,50.561126708984375,50.561126708984375,0.0,,50.561126708984375,50.561126708984375,0.0,,22.0
LOAD,LOED,up,HOMOPHONE,1.0,32.2117805480957,32.2117805480957,0.0,,33.17573547363281,33.17573547363281,0.0,,1.0,1.0,0.0,'up',0.6312507390975952,0.6312507390975952,0.0,33.17573547363281,33.17573547363281,0.0,,33.17573547363281,33.17573547363281,0.0,,12.0
MEET,MEOT,up,HOMOPHONE,1.0,37.093082427978516,37.093082427978516,0.0,,38.07536315917969,38.07536315917969,0.0,,1.0,1.0,0.0,'up',0.5534172654151917,0.5534172654151917,0.0,38.07536315917969,38.07536315917969,0.0,,38.07536315917969,38.07536315917969,0.0,,15.0
POUR,POIR,up,HOMOPHONE,1.0,16.629901885986328,16.629901885986328,0.0,,17.611452102661133,17.611452102661133,0.0,,1.0,1.0,0.0,'up',0.7428553700447083,0.7428553700447083,0.0,17.611452102661133,17.611452102661133,0.0,,17.611452102661133,17.611452102661133,0.0,,3.0
SEED,SAED,up,HOMOPHONE,1.0,51.177818298339844,51.177818298339844,0.0,,52.14171600341797,52.14171600341797,0.0,,1.0,1.0,0.0,'up',0.6636184453964233,0.6636184453964233,0.0,52.14171600341797,52.14171600341797,0.0,,52.14171600341797,52.14171600341797,0.0,,23.0
COIN,COAN,up,WORD,1.0,58.36236572265625,58.36236572265625,0.0,,59.341983795166016,59.341983795166016,0.0,,1.0,1.0,0.0,'up',0.6344844698905945,0.6344844698905945,0.0,59.341983795166016,59.341983795166016,0.0,,59.341983795166016,59.341983795166016,0.0,,27.0
DEAF,DIAF,up,WORD,1.0,33.83232498168945,33.83232498168945,0.0,,34.81379699707031,34.81379699707031,0.0,,1.0,1.0,0.0,'up',0.69505774974823,0.69505774974823,0.0,34.81379699707031,34.81379699707031,0.0,,34.81379699707031,34.81379699707031,0.0,,13.0
DENY,DINY,up,WORD,1.0,56.41039276123047,56.41039276123047,0.0,,57.37946319580078,57.37946319580078,0.0,,1.0,1.0,0.0,'up',0.9597539901733398,0.9597539901733398,0.0,57.37946319580078,57.37946319580078,0.0,,57.37946319580078,57.37946319580078,0.0,,26.0
FISH,FESH,up,WORD,1.0,35.544281005859375,35.544281005859375,0.0,,36.50864791870117,36.50864791870117,0.0,,1.0,1.0,0.0,'up',0.56540846824646,0.56540846824646,0.0,36.50864791870117,36.50864791870117,0.0,,36.50864791870117,36.50864791870117,0.0,,14.0
HOOT,HEOT,up,WORD,1.0,13.248709678649902,13.248709678649902,0.0,,14.227903366088867,14.227903366088867,0.0,,1.0,1.0,0.0,'up',0.6176042556762695,0.6176042556762695,0.0,14.227903366088867,14.227903366088867,0.0,,14.227903366088867,14.227903366088867,0.0,,1.0
SPOT,SMOT,up,WORD,1.0,47.91444778442383,47.91444778442383,0.0,,48.89689254760742,48.89689254760742,0.0,,1.0,1.0,0.0,'up',0.6586989760398865,0.6586989760398865,0.0,48.89689254760742,48.89689254760742,0.0,,48.89689254760742,48.89689254760742,0.0,,21.0
TWIN,TRIN,up,WORD,1.0,25.413455963134766,25.413455963134766,0.0,,26.37786865234375,26.37786865234375,0.0,,1.0,1.0,0.0,'up',0.7915182709693909,0.7915182709693909,0.0,26.37786865234375,26.37786865234375,0.0,,26.37786865234375,26.37786865234375,0.0,,8.0
UNIT,UNAT,up,WORD,1.0,61.893310546875,61.893310546875,0.0,,62.87574005126953,62.87574005126953,0.0,,1.0,1.0,0.0,'up',0.7134462594985962,0.7134462594985962,0.0,62.87574005126953,62.87574005126953,0.0,,62.87574005126953,62.87574005126953,0.0,,29.0
BIAR,BEAR,down,HOMOPHONE,1.0,42.15964126586914,42.15964126586914,0.0,,43.1419677734375,43.1419677734375,0.0,,1.0,1.0,0.0,'down',0.5947356820106506,0.5947356820106506,0.0,43.1419677734375,43.1419677734375,0.0,,43.1419677734375,43.1419677734375,0.0,,18.0
GUTE,GATE,down,HOMOPHONE,1.0,28.929922103881836,28.929922103881836,0.0,,29.897207260131836,29.897207260131836,0.0,,1.0,1.0,0.0,'down',0.6090316772460938,0.6090316772460938,0.0,29.897207260131836,29.897207260131836,0.0,,29.897207260131836,29.897207260131836,0.0,,10.0
HOEL,HEEL,down,HOMOPHONE,1.0,45.52781295776367,45.52781295776367,0.0,,46.49442672729492,46.49442672729492,0.0,,1.0,1.0,0.0,'down',1.3982610702514648,1.3982610702514648,0.0,46.49442672729492,46.49442672729492,0.0,,46.49442672729492,46.49442672729492,0.0,,20.0
LIAF,LEAF,down,HOMOPHONE,1.0,19.949060440063477,19.949060440063477,0.0,,20.925689697265625,20.925689697265625,0.0,,1.0,1.0,0.0,'down',0.744534969329834,0.744534969329834,0.0,20.925689697265625,20.925689697265625,0.0,,20.925689697265625,20.925689697265625,0.0,,5.0
MOIL,MAIL,down,HOMOPHONE,1.0,11.32983112335205,11.32983112335205,0.0,,12.291587829589844,12.291587829589844,0.0,,1.0,1.0,0.0,'down',0.9219484925270081,0.9219484925270081,0.0,12.291587829589844,12.291587829589844,0.0,,12.291587829589844,12.291587829589844,0.0,,0.0
PAER,PEER,down,HOMOPHONE,1.0,40.34982681274414,40.34982681274414,0.0,,41.32615661621094,41.32615661621094,0.0,,1.0,1.0,0.0,'down',0.8054429888725281,0.8054429888725281,0.0,41.32615661621094,41.32615661621094,0.0,,41.32615661621094,41.32615661621094,0.0,,17.0
ROCE,ROLE,down,HOMOPHONE,1.0,23.558727264404297,23.558727264404297,0.0,,24.54631233215332,24.54631233215332,0.0,,1.0,1.0,0.0,'down',0.8161094188690186,0.8161094188690186,0.0,24.54631233215332,24.54631233215332,0.0,,24.54631233215332,24.54631233215332,0.0,,7.0
SOVE,SORE,down,HOMOPHONE,1.0,60.013282775878906,60.013282775878906,0.0,,60.99068069458008,60.99068069458008,0.0,,1.0,1.0,0.0,'down',0.8826067447662354,0.8826067447662354,0.0,60.99068069458008,60.99068069458008,0.0,,60.99068069458008,60.99068069458008,0.0,,28.0
FOAD,FOOD,down,WORD,1.0,38.66633987426758,38.66633987426758,0.0,,39.64763259887695,39.64763259887695,0.0,,1.0,1.0,0.0,'down',0.6650848984718323,0.6650848984718323,0.0,39.64763259887695,39.64763259887695,0.0,,39.64763259887695,39.64763259887695,0.0,,16.0
HULE,HUGE,down,WORD,1.0,54.416404724121094,54.416404724121094,0.0,,55.39760971069336,55.39760971069336,0.0,,1.0,1.0,0.0,'down',0.9716863036155701,0.9716863036155701,0.0,55.39760971069336,55.39760971069336,0.0,,55.39760971069336,55.39760971069336,0.0,,25.0
