text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
green,blue,right,0,0,0,0,3,11.676368519023526,None,13.226381753018359,None,right,1,0.8550324859970715,13.226381753018359,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,green,down,1,0,1,1,2,,,14.589858204999473,None,down,1,0.7414634599990677,14.589858204999473,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,green,down,0,0,2,2,1,,,15.843385209009284,None,down,1,0.6349451109999791,15.843385209009284,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,blue,right,1,0,3,3,4,,,16.993305488023907,None,right,1,0.6370294659864157,16.993305488023907,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,red,left,0,0,4,4,5,,,18.142429101018934,None,left,1,0.6847549520025495,18.142429101018934,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,red,left,1,0,5,5,0,,,19.34319108101772,None,left,1,0.5201150630018674,19.34319108101772,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,green,down,1,1,0,6,2,,,20.37657889199909,None,down,1,0.7564978619921021,20.37657889199909,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,green,down,0,1,1,7,1,,,21.642590410017874,None,down,1,0.3595193829969503,21.642590410017874,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,blue,right,1,1,2,8,4,,,22.50941821502056,None,right,1,0.4646190850180574,22.50941821502056,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,blue,right,0,1,3,9,3,,,23.47674856701633,None,right,1,0.5613639210059773,23.47674856701633,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,red,left,1,1,4,10,0,,,24.54319789801957,None,down,0,0.6498190069978591,24.54319789801957,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,red,left,0,1,5,11,5,,,25.707226561004063,None,left,1,0.8148503889970016,25.707226561004063,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,blue,right,1,2,0,12,4,,,27.026875942014158,None,right,1,1.7743221200071275,27.026875942014158,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,green,down,1,2,1,13,2,,,29.308105091011385,None,down,1,0.5409276999998838,29.308105091011385,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,red,left,0,2,2,14,5,,,30.357530939014396,None,left,1,0.5474638289888389,30.357530939014396,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,red,left,1,2,3,15,0,,,31.40828543601674,None,left,1,0.5605552139750216,31.40828543601674,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,blue,right,0,2,4,16,3,,,32.47504441899946,None,right,1,0.9500128839863464,32.47504441899946,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
