text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
red,green,down,0,2,5,17,1,,,33.94387698802166,None,down,1,0.9418595379975159,33.94387698802166,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,red,left,1,3,0,18,0,,,35.39222773001529,None,left,1,0.7254886519804131,35.39222773001529,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,green,down,1,3,1,19,2,,,36.623783311020816,None,down,1,1.019151510001393,36.623783311020816,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,blue,right,1,3,2,20,4,,,38.156861824012594,None,right,1,0.6988897250266746,38.156861824012594,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,red,left,0,3,3,21,5,,,39.35795284801861,None,left,1,0.8197651829977985,39.35795284801861,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,blue,right,0,3,4,22,3,,,40.690384215005906,None,right,1,1.3041984489827882,40.690384215005906,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,green,down,0,3,5,23,1,,,42.507130243000574,None,down,1,1.1044929159979802,42.507130243000574,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,green,down,1,4,0,24,2,,,44.12390248599695,None,down,1,0.5087708680075593,44.12390248599695,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
green,blue,right,0,4,1,25,3,,,45.14202336300514,None,right,1,0.6535862559976522,45.14202336300514,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,red,left,0,4,2,26,5,,,46.30709425499663,None,left,1,0.6683439940097742,46.30709425499663,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,green,down,0,4,3,27,1,,,47.47617296400131,None,down,1,0.9502559779793955,47.47617296400131,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
blue,blue,right,1,4,4,28,4,,,48.942105951020494,None,right,1,0.7193786249845289,48.942105951020494,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
red,red,left,1,4,5,29,0,,,50.17359020499862,None,left,1,0.5427653150109109,50.17359020499862,None,,,01,03,2020_Apr_04_0837,stroop,2020.1.2,60.27664509172807,
,,,,,,,,,,,,,,,,,50.77546500900644,None,,,,,,,
