text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
red,green,down,0,0,0,0,1,24.937857837008778,None,29.019076131022302,None,down,1,1.1332468050241005,29.019076131022302,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
blue,red,left,0,0,1,1,5,,,30.65493113701814,None,left,1,0.9332524880010169,30.65493113701814,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
blue,blue,right,1,0,2,2,4,,,32.10456376502407,None,right,1,0.8935536899953149,32.10456376502407,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
green,green,down,1,0,3,3,2,,,33.50458937001531,None,down,1,0.5554820519755594,33.50458937001531,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
red,red,left,1,0,4,4,0,,,34.56854936899617,None,left,1,0.48250765400007367,34.56854936899617,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
green,blue,right,0,0,5,5,3,,,35.551875934004784,None,right,1,0.9992572659975849,35.551875934004784,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
blue,red,left,0,1,0,6,5,,,37.0522327220242,None,left,1,0.8196686790033709,37.0522327220242,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
blue,blue,right,1,1,1,7,4,,,38.38651754500461,None,right,1,0.907535940001253,38.38651754500461,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
green,green,down,1,1,2,8,2,,,39.80191855202429,None,down,1,0.5910860000003595,39.80191855202429,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
red,green,down,0,1,3,9,1,,,40.90125967899803,None,down,1,2.906414021010278,40.90125967899803,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
red,red,left,1,1,4,10,0,,,44.3196261220146,None,left,1,0.5970124950108584,44.3196261220146,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
green,blue,right,0,1,5,11,3,,,45.41864151801565,None,right,1,0.6388208889984526,45.41864151801565,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
red,red,left,1,2,0,12,0,,,46.60486654401757,None,left,1,0.6895203889871482,46.60486654401757,None,,,01,04,2020_Apr_04_1324,stroop,2020.1.2,60.011564941890825,
