participant,congruent,resp.rt
1.0,0.0,1.2075454346719199
1.0,1.0,0.8492034869967029
2.0,0.0,0.9983049351974235
2.0,1.0,0.7374402038617215
3.0,0.0,0.7900296845958413
3.0,1.0,0.7239862447992588
