,Unnamed: 0,Unnamed: 25,congruent,corrAns,date,expName,frameRate,instrText.started,instrText.stopped,letterColor,participant,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
24,,,1.0,right,2020_Apr_04_1324,stroop,60.011564941890825,,,blue,4.0,2020.1.2,1.0,right,0.5854064470040612,62.36862290202407,None,1.0,blue,,,4.0,24.0,4.0,0.0,62.36862290202407,None
25,,,1.0,down,2020_Apr_04_1324,stroop,60.011564941890825,,,green,4.0,2020.1.2,1.0,down,0.7389728260168341,63.45201202700264,None,1.0,green,,,2.0,25.0,4.0,1.0,63.45201202700264,None
26,,,0.0,right,2020_Apr_04_1324,stroop,60.011564941890825,,,blue,4.0,2020.1.2,1.0,right,0.5769460339797661,64.7027672160184,None,1.0,green,,,3.0,26.0,4.0,2.0,64.7027672160184,None
27,,,1.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.8529515549889766,65.78491295099957,None,1.0,red,,,0.0,27.0,4.0,3.0,65.78491295099957,None
28,,,0.0,left,2020_Apr_04_1324,stroop,60.011564941890825,,,red,4.0,2020.1.2,1.0,left,0.6437123290088493,67.13695264601847,None,1.0,blue,,,5.0,28.0,4.0,4.0,67.13695264601847,None
29,,,0.0,down,2020_Apr_04_1324,stroop,60.011564941890825,,,green,4.0,2020.1.2,0.0,right,0.6716551319987047,68.28917988302419,None,1.0,red,,,1.0,29.0,4.0,5.0,68.28917988302419,None
30,,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,23.287201743980408,None,red,1.0,2020.1.2,1.0,left,1.1239715729898307,30.561659061000682,None,1.0,red,,,0.0,0.0,0.0,0.0,30.561659061000682,None
31,,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8827095440065023,32.19191870698705,None,1.0,red,,,1.0,1.0,0.0,1.0,32.19191870698705,None
32,,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.4773139850003645,33.575173844001256,None,1.0,green,,,3.0,2.0,0.0,2.0,33.575173844001256,None
33,,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6155794060032349,34.5619866559864,None,1.0,blue,,,4.0,3.0,0.0,3.0,34.5619866559864,None
34,,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8124830980086699,35.693957409006536,None,1.0,green,,,2.0,4.0,0.0,4.0,35.693957409006536,None
35,,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.4948099410103168,37.01074217900168,None,1.0,blue,,,5.0,5.0,0.0,5.0,37.01074217900168,None
36,,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8979434969951399,39.010584486997686,None,1.0,red,,,1.0,6.0,1.0,0.0,39.010584486997686,None
37,,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.5528319300210569,40.40845732798335,None,1.0,green,,,2.0,7.0,1.0,1.0,40.40845732798335,None
38,,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,0.7617821790045127,41.47862289400655,None,1.0,red,,,0.0,8.0,1.0,2.0,41.47862289400655,None
39,,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6487987869768403,42.74263982998672,None,1.0,blue,,,4.0,9.0,1.0,3.0,42.74263982998672,None
40,,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.3742430200218223,43.892966916988364,None,1.0,blue,,,5.0,10.0,1.0,4.0,43.892966916988364,None
41,,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8681021119991783,45.77711231500143,None,1.0,green,,,3.0,11.0,1.0,5.0,45.77711231500143,None
42,,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.5722225799981966,47.15881612498197,None,1.0,blue,,,5.0,12.0,2.0,0.0,47.15881612498197,None
