text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
blue,green,down,incong,,,,,1,5,17,9,,,91.85200717000407,None,down,1,0.9991964359942358,91.85200717000407,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,red,left,incong,,,,,1,6,18,4,,,93.35278831000323,None,left,1,0.6252954730007332,93.35278831000323,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,1,7,19,6,,,94.48505465500057,None,down,1,0.8890626149950549,94.48505465500057,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,blue,right,incong,,,,,1,8,20,3,,,95.88635316598811,None,right,1,0.6395564420090523,95.88635316598811,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,blue,right,incong,,,,,1,9,21,7,,,97.0893270529923,None,right,1,0.9614758859970607,97.0893270529923,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,1,10,22,11,,,98.55237460299395,None,right,1,0.4635228230035864,98.55237460299395,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,1,11,23,10,,,99.5217185030051,None,right,1,0.3601565739954822,99.5217185030051,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,2,0,24,5,,,100.38515581699903,None,down,1,1.4478000859962776,100.38515581699903,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,blue,right,incong,,,,,2,1,25,7,,,102.33693781899638,None,right,1,1.395985881012166,102.33693781899638,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,red,left,incong,,,,,2,2,26,4,,,104.23648849799065,None,left,1,0.6243731009890325,104.23648849799065,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,2,3,27,6,,,105.37032295000972,None,down,1,1.1353415320045315,105.37032295000972,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,2,4,28,11,,,107.02070790799917,None,right,1,0.5501040920207743,107.02070790799917,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,green,down,incong,,,,,2,5,29,2,,,108.08822560901172,None,left,0,0.605537847004598,108.08822560901172,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,2,6,30,1,,,109.2047763929877,None,left,1,1.4749036529974546,109.2047763929877,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,green,down,incong,,,,,2,7,31,9,,,111.18603245099075,None,down,1,1.4805416699964553,111.18603245099075,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,2,8,32,10,,,113.17025630900753,None,right,1,0.6341584289912134,113.17025630900753,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,2,9,33,0,,,114.31831932498608,None,left,1,0.571194539021235,114.31831932498608,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
