left,right,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,letter_left.started,letter_left.stopped,letter_right.started,letter_right.stopped,key_resp.keys,key_resp.corr,key_resp.rt,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,down,7.49621507502161,10.763432817009743,None,,,,,,,,,,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,0,0,0,1,,,,,18.405994308996014,None,18.405994308996014,None,right,1,0.47377049503847957,0.00387297838460654,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,0,1,1,1,,,,,19.021789646998513,None,19.021789646998513,None,right,1,0.3359537500073202,0.012427587411366403,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,1,0,2,0,,,,,19.504653721989598,None,19.504653721989598,None,left,1,0.3680555839673616,0.011015602387487888,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,1,1,3,0,,,,,20.022187054972164,None,20.022187054972164,None,left,1,0.3314433339983225,0.012928929412737489,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,2,0,4,1,,,,,20.489147710963152,None,20.489147710963152,None,right,1,0.3326920319814235,0.011272553412709385,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,2,1,5,0,,,,,20.955331864999607,None,20.955331864999607,None,left,1,0.4144317439640872,0.010687338362913579,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,3,0,6,0,,,,,21.505458055995405,None,21.505458055995405,None,left,1,0.35420252999756485,0.01330042741028592,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,3,1,7,0,,,,,22.00566883495776,None,22.00566883495776,None,left,1,0.3330436510150321,0.013186279451474547,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,4,0,8,1,,,,,22.488438039959874,None,22.488438039959874,None,right,1,0.34020363801391795,0.010598815395496786,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,4,1,9,0,,,,,22.97236856498057,None,22.97236856498057,None,left,1,0.3363035910297185,0.01132145943120122,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,5,0,10,0,,,,,23.455685661989264,None,23.455685661989264,None,left,1,0.3680440109455958,0.010925384412985295,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,5,1,11,0,,,,,23.9727371459594,None,23.9727371459594,None,left,1,0.3258296779822558,0.012523949379101396,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,6,0,12,0,,,,,24.43912402598653,None,24.43912402598653,None,left,1,0.40570907498477027,0.013093421410303563,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,6,1,13,1,,,,,24.989140348974615,None,24.989140348974615,None,right,1,0.35358429298503324,0.008448261360172182,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,7,0,14,1,,,,,25.48992757796077,None,25.48992757796077,None,right,1,0.38886911096051335,0.010955395409837365,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,7,1,15,1,,,,,26.022841375961434,None,26.022841375961434,None,right,1,0.3419732850161381,0.011380544397979975,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,8,0,16,0,,,,,26.505984629970044,None,26.505984629970044,None,left,1,0.36268896103138104,0.00897252542199567,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,8,1,17,1,,,,,27.006547180993948,None,27.006547180993948,None,right,1,0.34819067997159436,0.00891162542393431,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,9,0,18,0,,,,,27.48918266099645,None,27.48918266099645,None,left,1,0.3735643880208954,0.01089211442740634,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,9,1,19,1,,,,,28.006730632972904,None,28.006730632972904,None,right,1,0.31993009900907055,0.008670922368764877,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,10,0,20,1,,,,,28.472005244984757,None,28.472005244984757,None,right,1,0.435489438008517,0.010921343404334038,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,10,1,21,0,,,,,29.056398843007628,None,29.056398843007628,None,left,1,0.3552620720001869,0.008314291422720999,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,11,0,22,1,,,,,29.557170417974703,None,29.557170417974703,None,right,1,0.34940046403789893,0.008274138439446688,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,11,1,23,0,,,,,30.056442165980116,None,30.056442165980116,None,left,1,0.40199319197563455,0.008331017452292144,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,12,0,24,0,,,,,30.60637694800971,None,30.60637694800971,None,left,1,0.3542063150089234,0.010951364412903786,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,12,1,25,1,,,,,31.106625214975793,None,31.106625214975793,None,right,1,0.3507835069904104,0.008042142377234995,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,13,0,26,1,,,,,31.60647457599407,None,31.60647457599407,None,right,1,0.36900618800427765,0.011218749394174665,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,13,1,27,0,,,,,32.12298259296222,None,32.12298259296222,None,left,1,0.346573669987265,0.008319274405948818,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
B,A,right,14,0,28,1,,,,,32.60619954299182,None,32.60619954299182,None,right,1,0.3643706040456891,0.009038493386469781,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,14,1,29,0,,,,,33.10568018298363,None,33.10568018298363,None,left,1,0.3947979210061021,0.009312864392995834,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
A,B,left,15,0,30,0,,,,,33.640329787973315,None,33.640329787973315,None,left,1,0.3840264780446887,0.012017692439258099,None,batman,001,2020_Apr_10_1230,letters,2020.1.2,59.678944218942355,
